route_id,service_id,trip_id,wheelchair_accessible,bikes_allowed,trip_headsign
12655,soboty,1722270,0,0,"Z - Zjazd do zajezdni"
12655,soboty,1722271,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra, Z - Zjazd do zajezdni"
12655,soboty,1722255,0,0,""
12655,soboty,1722257,0,0,""
12655,soboty,1722258,0,0,""
12655,niedziele i święta,1722198,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12655,niedziele i święta,1722233,0,0,"M - Kurs do przystanku przy ul Młynarskiej, X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12655,niedziele i święta,1722237,0,0,"M - Kurs do przystanku przy ul Młynarskiej, X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12655,niedziele i święta,1722261,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok, Z - Zjazd do zajezdni"
12655,niedziele i święta,1722254,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12648,robocze,1721531,0,0,"S - Kurs ulicami: Sportowa, Most Siwca, Krasińskiego"
12648,robocze,1721532,0,0,"S - Kurs ulicami: Sportowa, Most Siwca, Krasińskiego"
12648,robocze,1721537,0,0,""
12648,robocze,1721520,0,0,""
12648,robocze,1721563,0,0,""
12648,robocze,1721508,0,0,"M - Kurs do ulicy Młynarskiej"
12648,robocze,1721519,0,0,""
12648,robocze,1721581,0,0,""
12648,robocze,1721582,0,0,""
12648,robocze,1721557,0,0,""
12648,robocze,1721567,0,0,""
12648,robocze,1721521,0,0,""
12648,robocze,1721541,0,0,"E - Kurs do przystanku Sielecka Izba Celna"
12648,robocze,1721518,0,0,""
12648,robocze,1721555,0,0,""
12648,robocze,1721579,0,0,""
12648,robocze,1721580,0,0,""
12648,robocze,1721556,0,0,""
12648,robocze,1721503,0,0,""
12648,robocze,1721515,0,0,"G - Kurs ulicami: W. Pola, Boh. Getta"
12648,robocze,1721528,0,0,"G - Kurs ulicami: W. Pola, Boh. Getta"
12648,soboty,1721600,0,0,"J - Kurs do przystanku Jagiellońska"
12648,soboty,1721594,0,0,""
12648,soboty,1721548,0,0,""
12648,soboty,1721549,0,0,""
12648,soboty,1721599,0,0,"J - Kurs do przystanku Jagiellońska"
12648,soboty,1721593,0,0,""
12648,soboty,1721550,0,0,""
12648,soboty,1721547,0,0,""
12648,soboty,1721551,0,0,""
12648,soboty,1721552,0,0,""
12648,soboty,1721564,0,0,""
12648,soboty,1721602,0,0,"Z - Zjazd do zajezdni"
12648,niedziele i święta,1721576,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12648,niedziele i święta,1721507,0,0,"M - Kurs do ulicy Młynarskiej, X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12648,niedziele i święta,1721512,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12648,niedziele i święta,1721511,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12648,niedziele i święta,1721561,0,0,""
12648,niedziele i święta,1721565,0,0,""
12648,niedziele i święta,1721598,0,0,"J - Kurs do przystanku Jagiellońska"
12648,niedziele i święta,1721575,0,0,""
12648,niedziele i święta,1721513,0,0,"M - Kurs do ulicy Młynarskiej"
12648,niedziele i święta,1721595,0,0,"J - Kurs do przystanku Jagiellońska"
12648,niedziele i święta,1721591,0,0,""
12648,niedziele i święta,1721566,0,0,""
12648,niedziele i święta,1721562,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12648,niedziele i święta,1721560,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12648,niedziele i święta,1721506,0,0,"M - Kurs do ulicy Młynarskiej, X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12648,niedziele i święta,1721596,0,0,"J - Kurs do przystanku Jagiellońska, X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok, Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12648,niedziele i święta,1721590,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok, Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra), Z - Zjazd do zajezdni"
12648,niedziele i święta,1721603,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok, Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra), Z - Zjazd do zajezdni"
12648,niedziele i święta,1721500,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12649,robocze,1721632,0,0,""
12649,robocze,1721629,0,0,""
12651,robocze,1721678,0,0,""
12651,robocze,1721689,0,0,""
12651,robocze,1721700,0,0,""
12651,robocze,1721682,0,0,""
12651,robocze,1721683,0,0,""
12651,robocze,1721701,0,0,""
12651,robocze,1721681,0,0,""
12651,robocze,1721679,0,0,""
12651,robocze,1721680,0,0,""
12651,robocze,1721699,0,0,""
12651,robocze,1721816,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra), Z - Zjazd do zajezdni"
12651,robocze,1721675,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12651,robocze,1721741,0,0,""
12651,robocze,1721742,0,0,""
12651,robocze,1721730,0,0,""
12651,robocze,1721731,0,0,""
12651,robocze,1721754,0,0,""
